alpha,epochs,f1,auc,ap,threshold
0.1,200,0.16591197246875566,0.6308334223401951,0.09425628783970655,0.07306749036817839
0.3,200,0.20277078085642317,0.6835404719976118,0.12362413238928133,0.030162800028920172
0.5,200,0.21095248242062647,0.6629472461513937,0.11996185281567379,0.010211085090413697
0.7,200,0.19663141402271836,0.6189807295553311,0.12261960402036523,0.005278026009674629
0.9,200,0.029921259842519685,0.322019124657057,0.043873882025282175,0.00035688111189908036
0.1,500,0.16635205285512034,0.6445269132758014,0.10750651129837874,0.07257616447679925
0.3,500,0.19937694704049844,0.6707223583637214,0.11719725511625044,0.03850997080292665
0.5,500,0.20390329158170697,0.6598581897064705,0.12640984015911438,0.02375166434117338
0.7,500,0.19747235387045814,0.609475744549063,0.12172075079076404,0.0040722506799067216
0.9,500,0.043309272626318715,0.3541563775623091,0.046368944621328255,0.00030657296998525094
